"","НазваПС","substance","lat","lon","valueType","value"
"100","канал Дніпро-Донбас, 256 км, с. Грушеваха","ФосфатІониМгДм3",49.1258,36.9035,"mean",0.362666666666667
"101","канал Дніпро-Донбас, 256 км, с. Грушеваха","ХімічнеСпоживанняКиснюМгОДм3",49.1258,36.9035,"mean",20.6533333333333
"102","канал Дніпро-Донбас, 256 км, с. Грушеваха","ХлоридІониМгДм3",49.1258,36.9035,"mean",194.456666666667
"103","канал Дніпро-Кривий Ріг, 43 км, Південне в-ще, питний в/з ","АмонійІониМгДм3",47.781611,33.556506,"mean",0.293333333333333
"104","канал Дніпро-Кривий Ріг, 43 км, Південне в-ще, питний в/з ","БСК5МгОДм3",47.781611,33.556506,"mean",2.59738095238095
"105","канал Дніпро-Кривий Ріг, 43 км, Південне в-ще, питний в/з ","ЗависліРечовиниМгДм3",47.781611,33.556506,"mean",4.02619047619048
"106","канал Дніпро-Кривий Ріг, 43 км, Південне в-ще, питний в/з ","КисеньРозчиненийМгО2Дм3",47.781611,33.556506,"mean",9.12928571428571
"107","канал Дніпро-Кривий Ріг, 43 км, Південне в-ще, питний в/з ","НітратІониМгДм3",47.781611,33.556506,"mean",1.40119047619048
"108","канал Дніпро-Кривий Ріг, 43 км, Південне в-ще, питний в/з ","НітритІониМгДм3",47.781611,33.556506,"mean",0.0426190476190476
"109","канал Дніпро-Кривий Ріг, 43 км, Південне в-ще, питний в/з ","СинтетичніПоверхневоАктивніРечовиниМгДм3",47.781611,33.556506,"mean",0.0251190476190476
"110","канал Дніпро-Кривий Ріг, 43 км, Південне в-ще, питний в/з ","СульфатІониМгДм3",47.781611,33.556506,"mean",64.965
"111","канал Дніпро-Кривий Ріг, 43 км, Південне в-ще, питний в/з ","ФосфатІониМгДм3",47.781611,33.556506,"mean",0.291190476190476
"112","канал Дніпро-Кривий Ріг, 43 км, Південне в-ще, питний в/з ","ХімічнеСпоживанняКиснюМгОДм3",47.781611,33.556506,"mean",29.5488095238095
"113","канал Дніпро-Кривий Ріг, 43 км, Південне в-ще, питний в/з ","ХлоридІониМгДм3",47.781611,33.556506,"mean",38.662619047619
"114","Каховський магістральний канал, 127 км, с. Ганно-Мусіївка, 1 км Приазовської ЗС","АмонійІониМгДм3",46.559,34.853,"mean",0.2744
"115","Каховський магістральний канал, 127 км, с. Ганно-Мусіївка, 1 км Приазовської ЗС","БСК5МгОДм3",46.559,34.853,"mean",3.164
"116","Каховський магістральний канал, 127 км, с. Ганно-Мусіївка, 1 км Приазовської ЗС","ЗависліРечовиниМгДм3",46.559,34.853,"mean",5.136
"117","Каховський магістральний канал, 127 км, с. Ганно-Мусіївка, 1 км Приазовської ЗС","КисеньРозчиненийМгО2Дм3",46.559,34.853,"mean",8.158
"118","Каховський магістральний канал, 127 км, с. Ганно-Мусіївка, 1 км Приазовської ЗС","НітратІониМгДм3",46.559,34.853,"mean",1.38728
"119","Каховський магістральний канал, 127 км, с. Ганно-Мусіївка, 1 км Приазовської ЗС","НітритІониМгДм3",46.559,34.853,"mean",0.02968
"120","Каховський магістральний канал, 127 км, с. Ганно-Мусіївка, 1 км Приазовської ЗС","СинтетичніПоверхневоАктивніРечовиниМгДм3",46.559,34.853,"mean",0.02932
"121","Каховський магістральний канал, 127 км, с. Ганно-Мусіївка, 1 км Приазовської ЗС","СульфатІониМгДм3",46.559,34.853,"mean",50.9456
"122","Каховський магістральний канал, 127 км, с. Ганно-Мусіївка, 1 км Приазовської ЗС","ФосфатІониМгДм3",46.559,34.853,"mean",0.22464
"123","Каховський магістральний канал, 127 км, с. Ганно-Мусіївка, 1 км Приазовської ЗС","ХімічнеСпоживанняКиснюМгОДм3",46.559,34.853,"mean",24.408
"124","Каховський магістральний канал, 127 км, с. Ганно-Мусіївка, 1 км Приазовської ЗС","ХлоридІониМгДм3",46.559,34.853,"mean",38.0116
"125","оз. Кагул, 0 км, ГНС Нагірне","АзотЗагальнийМгДм3",45.386747,28.440594,"mean",2.375
"126","оз. Кагул, 0 км, ГНС Нагірне","АмонійІониМгДм3",45.386747,28.440594,"mean",0.435635714285714
"127","оз. Кагул, 0 км, ГНС Нагірне","БСК5МгОДм3",45.386747,28.440594,"mean",7.60242857142857
"128","оз. Кагул, 0 км, ГНС Нагірне","ЗависліРечовиниМгДм3",45.386747,28.440594,"mean",39.1035971223022
"129","оз. Кагул, 0 км, ГНС Нагірне","КисеньРозчиненийМгО2Дм3",45.386747,28.440594,"mean",9.89771428571429
"130","оз. Кагул, 0 км, ГНС Нагірне","НітратІониМгДм3",45.386747,28.440594,"mean",15.5105289855072
"131","оз. Кагул, 0 км, ГНС Нагірне","НітритІониМгДм3",45.386747,28.440594,"mean",0.0361214285714286
"132","оз. Кагул, 0 км, ГНС Нагірне","ПерманганатнаОкислюваністьМгОДм3",45.386747,28.440594,"mean",10.8992700729927
"133","оз. Кагул, 0 км, ГНС Нагірне","СинтетичніПоверхневоАктивніРечовиниМгДм3",45.386747,28.440594,"mean",0.0454671532846715
"134","оз. Кагул, 0 км, ГНС Нагірне","СульфатІониМгДм3",45.386747,28.440594,"mean",132.916428571429
"135","оз. Кагул, 0 км, ГНС Нагірне","ФосфатІониМгДм3",45.386747,28.440594,"mean",0.0580714285714286
"136","оз. Кагул, 0 км, ГНС Нагірне","ХімічнеСпоживанняКиснюМгОДм3",45.386747,28.440594,"mean",64.6370967741936
"137","оз. Кагул, 0 км, ГНС Нагірне","ХлоридІониМгДм3",45.386747,28.440594,"mean",424.603571428571
"138","оз. Катлабух, 0 км, ГНС Кірова","АмонійІониМгДм3",45.461944,29.051342,"mean",0.277
"139","оз. Катлабух, 0 км, ГНС Кірова","БСК5МгОДм3",45.461944,29.051342,"mean",7.1
"140","оз. Катлабух, 0 км, ГНС Кірова","ЗависліРечовиниМгДм3",45.461944,29.051342,"mean",59.4857142857143
"141","оз. Катлабух, 0 км, ГНС Кірова","КисеньРозчиненийМгО2Дм3",45.461944,29.051342,"mean",8.64285714285714
"142","оз. Катлабух, 0 км, ГНС Кірова","НітратІониМгДм3",45.461944,29.051342,"mean",1.06666666666667
"143","оз. Катлабух, 0 км, ГНС Кірова","НітритІониМгДм3",45.461944,29.051342,"mean",0.0262857142857143
"144","оз. Катлабух, 0 км, ГНС Кірова","ПерманганатнаОкислюваністьМгОДм3",45.461944,29.051342,"mean",13.1142857142857
"145","оз. Катлабух, 0 км, ГНС Кірова","СинтетичніПоверхневоАктивніРечовиниМгДм3",45.461944,29.051342,"mean",0.0488571428571429
"146","оз. Катлабух, 0 км, ГНС Кірова","СульфатІониМгДм3",45.461944,29.051342,"mean",882.9
